report_id,object_type,object_id,object_name,enterprise_id,mine_id,stage,report_type_code,report_type_name,is_annual,material_items,upload_rule,enabled,updated_at
report_mine_002_safety_production_permit,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,项目准入阶段,safety_production_permit,安全生产许可,False,"[{""material_code"": ""safety_production_permit_01"", ""material_name"": ""安全生产许可证"", ""required"": true}, {""material_code"": ""safety_production_permit_02"", ""material_name"": ""小危行业"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_002_water_permit,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,项目准入阶段,water_permit,取水许可,False,"[{""material_code"": ""water_permit_01"", ""material_name"": ""取水许可证"", ""required"": true}, {""material_code"": ""water_permit_02"", ""material_name"": ""取水许可批复"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_002_project_land,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,项目准入阶段,project_land,项目用地,False,"[{""material_code"": ""project_land_01"", ""material_name"": ""建设项目用地"", ""required"": true}, {""material_code"": ""project_land_02"", ""material_name"": ""土地租用"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_002_reserve_annual_report,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,项目实施阶段,reserve_annual_report,储量年报,True,"[{""material_code"": ""reserve_annual_report_01"", ""material_name"": ""储量年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_mine_003_mining_license,mine,mine_003,东台盐湖矿山,ent_002,mine_003,申请采矿阶段,mining_license,采矿权证书,False,"[{""material_code"": ""mining_license_01"", ""material_name"": ""采矿权证书"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_003_real_estate_certificate,mine,mine_003,东台盐湖矿山,ent_002,mine_003,申请采矿阶段,real_estate_certificate,不动产权证,False,"[{""material_code"": ""real_estate_certificate_01"", ""material_name"": ""不动产权证"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_003_project_approval,mine,mine_003,东台盐湖矿山,ent_002,mine_003,项目立项阶段,project_approval,立项报告,False,"[{""material_code"": ""project_approval_01"", ""material_name"": ""立项报告"", ""required"": true}, {""material_code"": ""project_approval_02"", ""material_name"": ""立项批复文件"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_003_safety_production_permit,mine,mine_003,东台盐湖矿山,ent_002,mine_003,项目准入阶段,safety_production_permit,安全生产许可,False,"[{""material_code"": ""safety_production_permit_01"", ""material_name"": ""安全生产许可证"", ""required"": true}, {""material_code"": ""safety_production_permit_02"", ""material_name"": ""小危行业"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_003_water_permit,mine,mine_003,东台盐湖矿山,ent_002,mine_003,项目准入阶段,water_permit,取水许可,False,"[{""material_code"": ""water_permit_01"", ""material_name"": ""取水许可证"", ""required"": true}, {""material_code"": ""water_permit_02"", ""material_name"": ""取水许可批复"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_003_project_land,mine,mine_003,东台盐湖矿山,ent_002,mine_003,项目准入阶段,project_land,项目用地,False,"[{""material_code"": ""project_land_01"", ""material_name"": ""建设项目用地"", ""required"": true}, {""material_code"": ""project_land_02"", ""material_name"": ""土地租用"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_003_reserve_annual_report,mine,mine_003,东台盐湖矿山,ent_002,mine_003,项目实施阶段,reserve_annual_report,储量年报,True,"[{""material_code"": ""reserve_annual_report_01"", ""material_name"": ""储量年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_mine_004_mining_license,mine,mine_004,西台盐湖矿山,ent_002,mine_004,申请采矿阶段,mining_license,采矿权证书,False,"[{""material_code"": ""mining_license_01"", ""material_name"": ""采矿权证书"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_004_real_estate_certificate,mine,mine_004,西台盐湖矿山,ent_002,mine_004,申请采矿阶段,real_estate_certificate,不动产权证,False,"[{""material_code"": ""real_estate_certificate_01"", ""material_name"": ""不动产权证"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_004_project_approval,mine,mine_004,西台盐湖矿山,ent_002,mine_004,项目立项阶段,project_approval,立项报告,False,"[{""material_code"": ""project_approval_01"", ""material_name"": ""立项报告"", ""required"": true}, {""material_code"": ""project_approval_02"", ""material_name"": ""立项批复文件"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_004_safety_production_permit,mine,mine_004,西台盐湖矿山,ent_002,mine_004,项目准入阶段,safety_production_permit,安全生产许可,False,"[{""material_code"": ""safety_production_permit_01"", ""material_name"": ""安全生产许可证"", ""required"": true}, {""material_code"": ""safety_production_permit_02"", ""material_name"": ""小危行业"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_004_water_permit,mine,mine_004,西台盐湖矿山,ent_002,mine_004,项目准入阶段,water_permit,取水许可,False,"[{""material_code"": ""water_permit_01"", ""material_name"": ""取水许可证"", ""required"": true}, {""material_code"": ""water_permit_02"", ""material_name"": ""取水许可批复"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_004_project_land,mine,mine_004,西台盐湖矿山,ent_002,mine_004,项目准入阶段,project_land,项目用地,False,"[{""material_code"": ""project_land_01"", ""material_name"": ""建设项目用地"", ""required"": true}, {""material_code"": ""project_land_02"", ""material_name"": ""土地租用"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_004_reserve_annual_report,mine,mine_004,西台盐湖矿山,ent_002,mine_004,项目实施阶段,reserve_annual_report,储量年报,True,"[{""material_code"": ""reserve_annual_report_01"", ""material_name"": ""储量年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_mine_005_mining_license,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,申请采矿阶段,mining_license,采矿权证书,False,"[{""material_code"": ""mining_license_01"", ""material_name"": ""采矿权证书"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_005_real_estate_certificate,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,申请采矿阶段,real_estate_certificate,不动产权证,False,"[{""material_code"": ""real_estate_certificate_01"", ""material_name"": ""不动产权证"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_005_project_approval,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,项目立项阶段,project_approval,立项报告,False,"[{""material_code"": ""project_approval_01"", ""material_name"": ""立项报告"", ""required"": true}, {""material_code"": ""project_approval_02"", ""material_name"": ""立项批复文件"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_005_safety_production_permit,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,项目准入阶段,safety_production_permit,安全生产许可,False,"[{""material_code"": ""safety_production_permit_01"", ""material_name"": ""安全生产许可证"", ""required"": true}, {""material_code"": ""safety_production_permit_02"", ""material_name"": ""小危行业"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_005_water_permit,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,项目准入阶段,water_permit,取水许可,False,"[{""material_code"": ""water_permit_01"", ""material_name"": ""取水许可证"", ""required"": true}, {""material_code"": ""water_permit_02"", ""material_name"": ""取水许可批复"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_005_project_land,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,项目准入阶段,project_land,项目用地,False,"[{""material_code"": ""project_land_01"", ""material_name"": ""建设项目用地"", ""required"": true}, {""material_code"": ""project_land_02"", ""material_name"": ""土地租用"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_005_reserve_annual_report,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,项目实施阶段,reserve_annual_report,储量年报,True,"[{""material_code"": ""reserve_annual_report_01"", ""material_name"": ""储量年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_mine_006_mining_license,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,申请采矿阶段,mining_license,采矿权证书,False,"[{""material_code"": ""mining_license_01"", ""material_name"": ""采矿权证书"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_006_real_estate_certificate,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,申请采矿阶段,real_estate_certificate,不动产权证,False,"[{""material_code"": ""real_estate_certificate_01"", ""material_name"": ""不动产权证"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_006_project_approval,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,项目立项阶段,project_approval,立项报告,False,"[{""material_code"": ""project_approval_01"", ""material_name"": ""立项报告"", ""required"": true}, {""material_code"": ""project_approval_02"", ""material_name"": ""立项批复文件"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_006_safety_production_permit,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,项目准入阶段,safety_production_permit,安全生产许可,False,"[{""material_code"": ""safety_production_permit_01"", ""material_name"": ""安全生产许可证"", ""required"": true}, {""material_code"": ""safety_production_permit_02"", ""material_name"": ""小危行业"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_006_water_permit,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,项目准入阶段,water_permit,取水许可,False,"[{""material_code"": ""water_permit_01"", ""material_name"": ""取水许可证"", ""required"": true}, {""material_code"": ""water_permit_02"", ""material_name"": ""取水许可批复"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_006_project_land,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,项目准入阶段,project_land,项目用地,False,"[{""material_code"": ""project_land_01"", ""material_name"": ""建设项目用地"", ""required"": true}, {""material_code"": ""project_land_02"", ""material_name"": ""土地租用"", ""required"": true}]",按业务发生/证照更新时上传,True,2026-09-25T00:00:00+08:00
report_mine_006_reserve_annual_report,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,项目实施阶段,reserve_annual_report,储量年报,True,"[{""material_code"": ""reserve_annual_report_01"", ""material_name"": ""储量年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_001_safety_three_simultaneous,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,safety_three_simultaneous,安全生产三同时,False,"[{""material_code"": ""safety_three_simultaneous_01"", ""material_name"": ""安全设施设计报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_02"", ""material_name"": ""安全设施验收意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_03"", ""material_name"": ""安全设施报告评审意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_04"", ""material_name"": ""安全设施报告批复"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_05"", ""material_name"": ""安全预评报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_06"", ""material_name"": ""安全预评报告评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_pollution_permit,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,pollution_permit,排污许可,False,"[{""material_code"": ""pollution_permit_01"", ""material_name"": ""排污许可证"", ""required"": true}, {""material_code"": ""pollution_permit_02"", ""material_name"": ""排污登记表、登记回执"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_environment_three_simultaneous,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,environment_three_simultaneous,环境保护三同时,False,"[{""material_code"": ""environment_three_simultaneous_01"", ""material_name"": ""环评报告表"", ""required"": true}, {""material_code"": ""environment_three_simultaneous_02"", ""material_name"": ""环评验收意见"", ""required"": true}, {""material_code"": ""environment_three_simultaneous_03"", ""material_name"": ""环评批复"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_ecological_restoration_plan,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,ecological_restoration_plan,生态修复方案,False,"[{""material_code"": ""ecological_restoration_plan_01"", ""material_name"": ""生态修复方案报告"", ""required"": true}, {""material_code"": ""ecological_restoration_plan_02"", ""material_name"": ""专家评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_soil_water_conservation,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,soil_water_conservation,水土保持方案,False,"[{""material_code"": ""soil_water_conservation_01"", ""material_name"": ""水土保持方案报告"", ""required"": true}, {""material_code"": ""soil_water_conservation_02"", ""material_name"": ""水土保持设施验收报告"", ""required"": true}, {""material_code"": ""soil_water_conservation_03"", ""material_name"": ""水土保持方案批复"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_energy_saving,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,energy_saving,节能减排方案,False,"[{""material_code"": ""energy_saving_01"", ""material_name"": ""节能报告"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_forest_grass_occupation,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目准入阶段,forest_grass_occupation,林草占用手续,False,"[{""material_code"": ""forest_grass_occupation_01"", ""material_name"": ""占用审批文件"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_001_brine_monitoring_annual_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目实施阶段,brine_monitoring_annual_report,卤水监测年报,True,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""material_name"": ""卤水监测年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_001_annual_development_utilization_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目实施阶段,annual_development_utilization_report,年度开发利用报告,True,"[{""material_code"": ""annual_development_utilization_report_01"", ""material_name"": ""年度开发利用报告"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_001_national_condition_survey_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,项目实施阶段,national_condition_survey_report,国情调查报告,True,"[{""material_code"": ""national_condition_survey_report_01"", ""material_name"": ""国情调查报告"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_002_safety_three_simultaneous,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,safety_three_simultaneous,安全生产三同时,False,"[{""material_code"": ""safety_three_simultaneous_01"", ""material_name"": ""安全设施设计报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_02"", ""material_name"": ""安全设施验收意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_03"", ""material_name"": ""安全设施报告评审意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_04"", ""material_name"": ""安全设施报告批复"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_05"", ""material_name"": ""安全预评报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_06"", ""material_name"": ""安全预评报告评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_pollution_permit,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,pollution_permit,排污许可,False,"[{""material_code"": ""pollution_permit_01"", ""material_name"": ""排污许可证"", ""required"": true}, {""material_code"": ""pollution_permit_02"", ""material_name"": ""排污登记表、登记回执"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_environment_three_simultaneous,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,environment_three_simultaneous,环境保护三同时,False,"[{""material_code"": ""environment_three_simultaneous_01"", ""material_name"": ""环评报告表"", ""required"": true}, {""material_code"": ""environment_three_simultaneous_02"", ""material_name"": ""环评验收意见"", ""required"": true}, {""material_code"": ""environment_three_simultaneous_03"", ""material_name"": ""环评批复"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_ecological_restoration_plan,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,ecological_restoration_plan,生态修复方案,False,"[{""material_code"": ""ecological_restoration_plan_01"", ""material_name"": ""生态修复方案报告"", ""required"": true}, {""material_code"": ""ecological_restoration_plan_02"", ""material_name"": ""专家评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_soil_water_conservation,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,soil_water_conservation,水土保持方案,False,"[{""material_code"": ""soil_water_conservation_01"", ""material_name"": ""水土保持方案报告"", ""required"": true}, {""material_code"": ""soil_water_conservation_02"", ""material_name"": ""水土保持设施验收报告"", ""required"": true}, {""material_code"": ""soil_water_conservation_03"", ""material_name"": ""水土保持方案批复"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_energy_saving,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,energy_saving,节能减排方案,False,"[{""material_code"": ""energy_saving_01"", ""material_name"": ""节能报告"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_forest_grass_occupation,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目准入阶段,forest_grass_occupation,林草占用手续,False,"[{""material_code"": ""forest_grass_occupation_01"", ""material_name"": ""占用审批文件"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_002_brine_monitoring_annual_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目实施阶段,brine_monitoring_annual_report,卤水监测年报,True,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""material_name"": ""卤水监测年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_002_annual_development_utilization_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目实施阶段,annual_development_utilization_report,年度开发利用报告,True,"[{""material_code"": ""annual_development_utilization_report_01"", ""material_name"": ""年度开发利用报告"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_002_national_condition_survey_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,项目实施阶段,national_condition_survey_report,国情调查报告,True,"[{""material_code"": ""national_condition_survey_report_01"", ""material_name"": ""国情调查报告"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_003_safety_three_simultaneous,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,safety_three_simultaneous,安全生产三同时,False,"[{""material_code"": ""safety_three_simultaneous_01"", ""material_name"": ""安全设施设计报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_02"", ""material_name"": ""安全设施验收意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_03"", ""material_name"": ""安全设施报告评审意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_04"", ""material_name"": ""安全设施报告批复"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_05"", ""material_name"": ""安全预评报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_06"", ""material_name"": ""安全预评报告评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_pollution_permit,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,pollution_permit,排污许可,False,"[{""material_code"": ""pollution_permit_01"", ""material_name"": ""排污许可证"", ""required"": true}, {""material_code"": ""pollution_permit_02"", ""material_name"": ""排污登记表、登记回执"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_environment_three_simultaneous,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,environment_three_simultaneous,环境保护三同时,False,"[{""material_code"": ""environment_three_simultaneous_01"", ""material_name"": ""环评报告表"", ""required"": true}, {""material_code"": ""environment_three_simultaneous_02"", ""material_name"": ""环评验收意见"", ""required"": true}, {""material_code"": ""environment_three_simultaneous_03"", ""material_name"": ""环评批复"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_ecological_restoration_plan,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,ecological_restoration_plan,生态修复方案,False,"[{""material_code"": ""ecological_restoration_plan_01"", ""material_name"": ""生态修复方案报告"", ""required"": true}, {""material_code"": ""ecological_restoration_plan_02"", ""material_name"": ""专家评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_soil_water_conservation,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,soil_water_conservation,水土保持方案,False,"[{""material_code"": ""soil_water_conservation_01"", ""material_name"": ""水土保持方案报告"", ""required"": true}, {""material_code"": ""soil_water_conservation_02"", ""material_name"": ""水土保持设施验收报告"", ""required"": true}, {""material_code"": ""soil_water_conservation_03"", ""material_name"": ""水土保持方案批复"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_energy_saving,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,energy_saving,节能减排方案,False,"[{""material_code"": ""energy_saving_01"", ""material_name"": ""节能报告"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_forest_grass_occupation,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目准入阶段,forest_grass_occupation,林草占用手续,False,"[{""material_code"": ""forest_grass_occupation_01"", ""material_name"": ""占用审批文件"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
report_line_003_brine_monitoring_annual_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目实施阶段,brine_monitoring_annual_report,卤水监测年报,True,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""material_name"": ""卤水监测年报"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_003_annual_development_utilization_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目实施阶段,annual_development_utilization_report,年度开发利用报告,True,"[{""material_code"": ""annual_development_utilization_report_01"", ""material_name"": ""年度开发利用报告"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_003_national_condition_survey_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,项目实施阶段,national_condition_survey_report,国情调查报告,True,"[{""material_code"": ""national_condition_survey_report_01"", ""material_name"": ""国情调查报告"", ""required"": true}]",按年度上传,True,2026-09-25T00:00:00+08:00
report_line_004_safety_three_simultaneous,production_line,line_004,氯化镁生产线,ent_001,mine_002,项目准入阶段,safety_three_simultaneous,安全生产三同时,False,"[{""material_code"": ""safety_three_simultaneous_01"", ""material_name"": ""安全设施设计报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_02"", ""material_name"": ""安全设施验收意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_03"", ""material_name"": ""安全设施报告评审意见"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_04"", ""material_name"": ""安全设施报告批复"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_05"", ""material_name"": ""安全预评报告"", ""required"": true}, {""material_code"": ""safety_three_simultaneous_06"", ""material_name"": ""安全预评报告评审意见"", ""required"": true}]",按业务发生/资料更新时上传,True,2026-09-25T00:00:00+08:00
